450,1,1,0
450,1,0,0
368,1,0,0
368,1,0,1
273,1,0,1
273,0,0,1
211,0,0,1
211,0,1,1
097,0,1,1
097,0,1,0
032,0,1,0
032,1,1,0
450,1,1,0
450,1,0,0
367,1,0,0
367,1,0,1
273,1,0,1
273,0,0,1
212,0,0,1
212,0,1,1
097,0,1,1
097,0,1,0
033,0,1,0
033,1,1,0
449,1,1,0
449,1,0,0
368,1,0,0
368,1,0,1
273,1,0,1
273,0,0,1
212,0,0,1
212,0,1,1
098,0,1,1
098,0,1,0
033,0,1,0
033,1,1,0
449,1,1,0
449,1,0,0
368,1,0,0
368,1,0,1
272,1,0,1
272,0,0,1
212,0,0,1
212,0,1,1
097,0,1,1
097,0,1,0
033,0,1,0
033,1,1,0
449,1,1,0
449,1,0,0
368,1,0,0
368,1,0,1
273,1,0,1
273,0,0,1
213,0,0,1
213,0,1,1
098,0,1,1
098,0,1,0
033,0,1,0
033,1,1,0
450,1,1,0
450,1,0,0
368,1,0,0
368,1,0,1
272,1,0,1
272,0,0,1
213,0,0,1
213,0,1,1
098,0,1,1
098,0,1,0
032,0,1,0
032,1,1,0
449,1,1,0
449,1,0,0
368,1,0,0
368,1,0,1
273,1,0,1
273,0,0,1
212,0,0,1
212,0,1,1
097,0,1,1
097,0,1,0
033,0,1,0
033,1,1,0
450,1,1,0
450,1,0,0
369,1,0,0
369,1,0,1
272,1,0,1
272,0,0,1
212,0,0,1
212,0,1,1
097,0,1,1
097,0,1,0
032,0,1,0
032,1,1,0
450,1,1,0
450,1,0,0
368,1,0,0
368,1,0,1
272,1,0,1
272,0,0,1
212,0,0,1
212,0,1,1
098,0,1,1
098,0,1,0
032,0,1,0
032,1,1,0
449,1,1,0
449,1,0,0
368,1,0,0
368,1,0,1
273,1,0,1
273,0,0,1
212,0,0,1
212,0,1,1
097,0,1,1
097,0,1,0
032,0,1,0
032,1,1,0
