000 1 1 0
063,1,1,0
063,0,1,0
120,0,1,0
120,0,1,1
233,0,1,1
233,0,0,1
299,0,0,1
299,1,0,1
392,1,0,1
392,1,0,0
470,1,0,0
470,1,1,0
063,1,1,0
063,0,1,0
119,0,1,0
119,0,1,1
233,0,1,1
233,0,0,1
299,0,0,1
299,1,0,1
392,1,0,1
392,1,0,0
471,1,0,0
471,1,1,0
063,1,1,0
063,0,1,0
119,0,1,0
119,0,1,1
234,0,1,1
234,0,0,1
300,0,0,1
300,1,0,1
392,1,0,1
392,1,0,0
470,1,0,0
470,1,1,0
063,1,1,0
063,0,1,0
119,0,1,0
119,0,1,1
234,0,1,1
234,0,0,1
299,0,0,1
299,1,0,1
392,1,0,1
392,1,0,0
470,1,0,0
470,1,1,0
064,1,1,0
064,0,1,0
119,0,1,0
119,0,1,1
234,0,1,1
234,0,0,1
299,0,0,1
299,1,0,1
393,1,0,1
393,1,0,0
472,1,0,0
472,1,1,0
063,1,1,0
063,0,1,0
119,0,1,0
119,0,1,1
234,0,1,1
234,0,0,1
300,0,0,1
300,1,0,1
393,1,0,1
393,1,0,0
471,1,0,0
471,1,1,0
063,1,1,0
063,0,1,0
120,0,1,0
120,0,1,1
234,0,1,1
234,0,0,1
298,0,0,1
298,1,0,1
392,1,0,1
392,1,0,0
472,1,0,0
472,1,1,0
063,1,1,0
063,0,1,0
119,0,1,0
119,0,1,1
234,0,1,1
234,0,0,1
298,0,0,1
298,1,0,1
391,1,0,1
391,1,0,0
468,1,0,0
468,1,1,0
063,1,1,0
063,0,1,0
118,0,1,0
118,0,1,1
234,0,1,1
234,0,0,1
298,0,0,1
298,1,0,1
393,1,0,1
393,1,0,0
471,1,0,0
471,1,1,0
063,1,1,0
063,0,1,0
119,0,1,0
119,0,1,1
233,0,1,1
233,0,0,1
299,0,0,1
299,1,0,1
392,1,0,1
392,1,0,0
470,1,0,0
470,1,1,0
