00103,00655,00051,00830,00655,00649,00835,00052,00649
00104,00649,00052,00835,00649,00643,00839,00054,00643
00105,00643,00054,00839,00643,00638,00843,00055,00638
00106,00638,00055,00843,00638,00632,00847,00057,00632
00107,00632,00057,00847,00632,00627,00851,00058,00627
00108,00627,00058,00851,00627,00621,00855,00060,00621
00109,00621,00060,00855,00621,00615,00859,00061,00615
00110,00615,00061,00859,00615,00610,00863,00063,00610
00111,00610,00063,00863,00610,00604,00867,00065,00604
00112,00604,00065,00867,00604,00598,00871,00067,00598
00113,00598,00067,00871,00598,00593,00874,00069,00593
00114,00593,00069,00874,00593,00587,00878,00071,00587
00115,00587,00071,00878,00587,00581,00882,00073,00581
00116,00581,00073,00882,00581,00576,00885,00075,00576
00117,00576,00075,00885,00576,00570,00889,00077,00570
00118,00570,00077,00889,00570,00564,00892,00080,00564
00119,00564,00080,00892,00564,00558,00896,00082,00558
00120,00558,00082,00896,00558,00552,00899,00084,00552
00121,00552,00084,00899,00552,00547,00902,00087,00547
00122,00547,00087,00902,00547,00541,00906,00090,00541
00123,00541,00090,00906,00541,00535,00909,00092,00535
00124,00535,00092,00909,00535,00529,00912,00095,00529
00125,00529,00095,00912,00529,00524,00915,00098,00524
00126,00524,00098,00915,00524,00518,00918,00100,00518
00127,00518,00100,00918,00518,00512,00921,00103,00512
00128,00512,00103,00921,00512,00506,00924,00106,00506
00129,00506,00106,00924,00506,00500,00926,00109,00500
00130,00500,00109,00926,00500,00495,00929,00112,00495
00131,00495,00112,00929,00495,00489,00932,00115,00489
00132,00489,00115,00932,00489,00483,00934,00118,00483
00133,00483,00118,00934,00483,00477,00937,00122,00477
00134,00477,00122,00937,00477,00472,00940,00125,00472
00135,00472,00125,00940,00472,00466,00942,00128,00466
00136,00466,00128,00942,00466,00460,00944,00132,00460
00137,00460,00132,00944,00460,00454,00947,00135,00454
00138,00454,00135,00947,00454,00448,00949,00139,00448
00139,00448,00139,00949,00448,00443,00951,00142,00443
00140,00443,00142,00951,00443,00437,00953,00146,00437
00141,00437,00146,00953,00437,00431,00955,00150,00431
00142,00431,00150,00955,00431,00426,00957,00153,00426
00143,00426,00153,00957,00426,00420,00959,00157,00420
00144,00420,00157,00959,00420,00414,00961,00161,00414
00145,00414,00161,00961,00414,00409,00963,00165,00409
00146,00409,00165,00963,00409,00403,00964,00169,00403
00147,00403,00169,00964,00403,00397,00966,00173,00397
00148,00397,00173,00966,00397,00392,00967,00177,00392
